Paper Title,Figure Number,Point ID,Variable,Value,Reynolds number (Re),Geometry,P/e,e/D,Alpha,Aspect ratio,Number of ribbed walls,Reading on
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 60,Nu/Nu_0,2.5,30000,Straight,10.0,0.047,30.0,0.5,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 65,Nu/Nu_0,2.0,60000,Straight,10.0,0.047,90.0,0.5,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 66,Nu/Nu_0,2.85,60000,Straight,10.0,0.047,60.0,0.5,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 67,Nu/Nu_0,2.8,60000,Straight,10.0,0.047,45.0,0.5,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 68,Nu/Nu_0,2.45,60000,Straight,10.0,0.047,30.0,0.5,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 73,Nu/Nu_0,2.85,10000,Straight,10.0,0.078,90.0,4.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 74,Nu/Nu_0,2.85,10000,Straight,10.0,0.078,60.0,4.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 75,Nu/Nu_0,2.8,10000,Straight,10.0,0.078,45.0,4.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 76,Nu/Nu_0,2.75,10000,Straight,10.0,0.078,30.0,4.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 81,Nu/Nu_0,2.65,30000,Straight,10.0,0.078,90.0,4.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 82,Nu/Nu_0,2.65,30000,Straight,10.0,0.078,60.0,4.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 83,Nu/Nu_0,2.35,30000,Straight,10.0,0.078,45.0,4.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 84,Nu/Nu_0,2.25,30000,Straight,10.0,0.078,30.0,4.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 89,Nu/Nu_0,2.45,60000,Straight,10.0,0.078,90.0,4.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 90,Nu/Nu_0,2.45,60000,Straight,10.0,0.078,60.0,4.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 91,Nu/Nu_0,2.15,60000,Straight,10.0,0.078,45.0,4.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 92,Nu/Nu_0,2.05,60000,Straight,10.0,0.078,30.0,4.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 97,Nu/Nu_0,1.95,10000,Straight,10.0,0.078,90.0,0.25,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 98,Nu/Nu_0,2.85,10000,Straight,10.0,0.078,60.0,0.25,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 99,Nu/Nu_0,2.8,10000,Straight,10.0,0.078,45.0,0.25,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 100,Nu/Nu_0,2.8,10000,Straight,10.0,0.078,30.0,0.25,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 105,Nu/Nu_0,2.0,30000,Straight,10.0,0.078,90.0,0.25,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 106,Nu/Nu_0,2.7,30000,Straight,10.0,0.078,60.0,0.25,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 107,Nu/Nu_0,2.95,30000,Straight,10.0,0.078,45.0,0.25,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 108,Nu/Nu_0,2.8,30000,Straight,10.0,0.078,30.0,0.25,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 113,Nu/Nu_0,1.9,60000,Straight,10.0,0.078,90.0,0.25,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 114,Nu/Nu_0,2.7,60000,Straight,10.0,0.078,60.0,0.25,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 115,Nu/Nu_0,2.95,60000,Straight,10.0,0.078,45.0,0.25,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 116,Nu/Nu_0,2.8,60000,Straight,10.0,0.078,30.0,0.25,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 1,f/f_0,4.0,10000,Straight,10.0,0.047,90.0,1.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 2,f/f_0,4.5,10000,Straight,10.0,0.047,60.0,1.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 3,f/f_0,3.8,10000,Straight,10.0,0.047,45.0,1.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 4,f/f_0,2.6,10000,Straight,10.0,0.047,30.0,1.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 5,f/f_0,4.5,30000,Straight,10.0,0.047,90.0,1.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 6,f/f_0,6.0,30000,Straight,10.0,0.047,60.0,1.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 7,f/f_0,4.5,30000,Straight,10.0,0.047,45.0,1.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 8,f/f_0,2.8,30000,Straight,10.0,0.047,30.0,1.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 9,f/f_0,4.8,60000,Straight,10.0,0.047,90.0,1.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 10,f/f_0,7.0,60000,Straight,10.0,0.047,60.0,1.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 11,f/f_0,5.0,60000,Straight,10.0,0.047,45.0,1.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 12,f/f_0,2.9,60000,Straight,10.0,0.047,30.0,1.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 13,f/f_0,5.0,10000,Straight,10.0,0.047,90.0,2.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 14,f/f_0,5.5,10000,Straight,10.0,0.047,60.0,2.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 15,f/f_0,4.0,10000,Straight,10.0,0.047,45.0,2.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 16,f/f_0,3.0,10000,Straight,10.0,0.047,30.0,2.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 17,f/f_0,6.8,30000,Straight,10.0,0.047,90.0,2.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 18,f/f_0,7.4,30000,Straight,10.0,0.047,60.0,2.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 19,f/f_0,5.2,30000,Straight,10.0,0.047,45.0,2.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 20,f/f_0,3.5,30000,Straight,10.0,0.047,30.0,2.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 21,f/f_0,8.0,60000,Straight,10.0,0.047,90.0,2.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 22,f/f_0,8.8,60000,Straight,10.0,0.047,60.0,2.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 23,f/f_0,6.0,60000,Straight,10.0,0.047,45.0,2.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 24,f/f_0,3.8,60000,Straight,10.0,0.047,30.0,2.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 25,f/f_0,2.0,10000,Straight,10.0,0.047,90.0,0.5,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 26,f/f_0,3.2,10000,Straight,10.0,0.047,60.0,0.5,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 27,f/f_0,2.2,10000,Straight,10.0,0.047,45.0,0.5,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 28,f/f_0,2.1,10000,Straight,10.0,0.047,30.0,0.5,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 29,f/f_0,2.6,30000,Straight,10.0,0.047,90.0,0.5,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 30,f/f_0,3.8,30000,Straight,10.0,0.047,60.0,0.5,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 31,f/f_0,3.4,30000,Straight,10.0,0.047,45.0,0.5,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 32,f/f_0,2.8,30000,Straight,10.0,0.047,30.0,0.5,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 33,f/f_0,2.8,60000,Straight,10.0,0.047,90.0,0.5,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 34,f/f_0,4.2,60000,Straight,10.0,0.047,60.0,0.5,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 35,f/f_0,3.5,60000,Straight,10.0,0.047,45.0,0.5,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 36,f/f_0,3.0,60000,Straight,10.0,0.047,30.0,0.5,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 37,f/f_0,12.5,10000,Straight,10.0,0.078,90.0,4.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 38,f/f_0,11.2,10000,Straight,10.0,0.078,60.0,4.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 39,f/f_0,8.8,10000,Straight,10.0,0.078,45.0,4.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 40,f/f_0,5.8,10000,Straight,10.0,0.078,30.0,4.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 41,f/f_0,16.2,30000,Straight,10.0,0.078,90.0,4.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 42,f/f_0,14.8,30000,Straight,10.0,0.078,60.0,4.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 43,f/f_0,11.2,30000,Straight,10.0,0.078,45.0,4.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 44,f/f_0,6.1,30000,Straight,10.0,0.078,30.0,4.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 45,f/f_0,18.2,60000,Straight,10.0,0.078,90.0,4.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 46,f/f_0,17.0,60000,Straight,10.0,0.078,60.0,4.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 47,f/f_0,12.8,60000,Straight,10.0,0.078,45.0,4.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 48,f/f_0,6.3,60000,Straight,10.0,0.078,30.0,4.0,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 49,f/f_0,1.9,10000,Straight,10.0,0.078,90.0,0.25,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 50,f/f_0,2.8,10000,Straight,10.0,0.078,60.0,0.25,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 51,f/f_0,2.5,10000,Straight,10.0,0.078,45.0,0.25,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 52,f/f_0,2.5,10000,Straight,10.0,0.078,30.0,0.25,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 53,f/f_0,2.2,30000,Straight,10.0,0.078,90.0,0.25,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 54,f/f_0,3.4,30000,Straight,10.0,0.078,60.0,0.25,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 55,f/f_0,3.4,30000,Straight,10.0,0.078,45.0,0.25,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 56,f/f_0,3.2,30000,Straight,10.0,0.078,30.0,0.25,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 57,f/f_0,2.5,60000,Straight,10.0,0.078,90.0,0.25,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 58,f/f_0,3.6,60000,Straight,10.0,0.078,60.0,0.25,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 59,f/f_0,3.6,60000,Straight,10.0,0.078,45.0,0.25,2,
Heat transfer performance comparisons of five different rectangular channels,Fig 10,pt 60,f/f_0,3.5,60000,Straight,10.0,0.078,30.0,0.25,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 1,f/f_0,0.974807303410404,6000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 2,f/f_0,1.0325343516015686,8000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 3,f/f_0,1.0759493670886076,10000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 4,f/f_0,1.1095657332163145,12000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 5,f/f_0,1.1557121313326144,15000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 6,f/f_0,1.241893506173728,20000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 7,f/f_0,1.333038604252479,25000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 8,f/f_0,1.3327331776734102,30000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 9,f/f_0,1.4097382029984966,40000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 10,f/f_0,1.5142772468062993,50000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 11,f/f_0,1.560131780769258,60000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 12,f/f_0,1.595692196602258,70000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 13,f/f_0,1.6764707012969626,80000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 14,f/f_0,1.6991637669188355,90000,Square duct,10.0,0.063,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 15,Nu/Nu_0,2.2783862183480545,10000,Square duct,10.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 16,Nu/Nu_0,1.937918068772032,15000,Square duct,10.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 17,Nu/Nu_0,2.07834763319814,20000,Square duct,10.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 18,Nu/Nu_0,2.039054187497396,25000,Square duct,10.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 19,Nu/Nu_0,2.0034749679457176,30000,Square duct,10.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 20,Nu/Nu_0,1.910789576809745,50000,Square duct,10.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 21,Nu/Nu_0,1.8538962110764583,60000,Square duct,10.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 22,Nu/Nu_0,1.747119660172579,70000,Square duct,10.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 23,Nu/Nu_0,1.733188023829991,90000,Square duct,10.0,0.063,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 36,f/f_0,0.8394318151149411,7000,Square duct,10.0,,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 37,f/f_0,0.8227848101265821,10000,Square duct,10.0,0.042,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 38,f/f_0,0.8580287035651228,15000,Square duct,10.0,0.042,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 39,f/f_0,0.9031952772172568,20000,Square duct,10.0,0.042,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 40,f/f_0,0.9995498832550576,30000,Square duct,10.0,0.042,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 41,f/f_0,1.0517094530306246,40000,Square duct,10.0,0.042,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 42,f/f_0,1.0883867711420276,50000,Square duct,10.0,0.042,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 43,f/f_0,1.1839006619952237,70000,Square duct,10.0,0.042,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 44,f/f_0,1.233264024376574,90000,Square duct,10.0,0.042,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 45,Nu/Nu_0,2.0799207193804303,7000,Square duct,10.0,0.042,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 46,Nu/Nu_0,1.7422953434426296,10000,Square duct,10.0,0.042,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 47,Nu/Nu_0,1.6472303584562271,15000,Square duct,10.0,0.042,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 48,Nu/Nu_0,1.5395167653319557,20000,Square duct,10.0,0.042,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 49,Nu/Nu_0,1.5304322671807564,30000,Square duct,10.0,0.042,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 50,Nu/Nu_0,1.4737003131893116,40000,Square duct,10.0,0.042,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 51,Nu/Nu_0,1.4793209626914152,50000,Square duct,10.0,0.042,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 52,Nu/Nu_0,1.3845099193820436,70000,Square duct,10.0,0.042,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 53,Nu/Nu_0,1.3865504190639928,90000,Square duct,10.0,0.042,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 63,f/f_0,0.5210266438644462,7000,Square duct,10.0,0.021,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 64,f/f_0,0.5379746835443038,10000,Square duct,10.0,0.021,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 65,f/f_0,0.5778560656663072,15000,Square duct,10.0,0.021,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 66,f/f_0,0.5833136165361449,20000,Square duct,10.0,0.021,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 67,f/f_0,0.624718677034411,30000,Square duct,10.0,0.021,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 68,f/f_0,0.6713039061897603,40000,Square duct,10.0,0.021,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 69,f/f_0,0.6861568774591044,50000,Square duct,10.0,0.021,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 70,f/f_0,0.7463721564752498,70000,Square duct,10.0,0.021,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 71,f/f_0,0.7673642818343128,90000,Square duct,10.0,0.021,90.0,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 72,Nu/Nu_0,1.5599405395353227,7000,Square duct,10.0,0.021,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 73,Nu/Nu_0,1.3402271872635612,10000,Square duct,10.0,0.021,90.0,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 74,Nu/Nu_0,1.332318672280772,15000,Square duct,10.0,0.021,90.0,1.0,2,Ribbed wall
