Paper Title,Figure Number,Point ID,Variable,Value,Reynolds number (Re),Geometry,P/e,e/D,Alpha,Aspect ratio,Number of ribbed walls,Reading on,Constant factor,Dittus-Boelter Value,Investigation
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 37,f,0.03,80000,Straight,10,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 38,f,0.029,8000,Straight,10,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 39,f,0.025,12000,Straight,10,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 40,f,0.022,20000,Straight,10,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 41,f,0.02,30000,Straight,10,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 42,f,0.018,40000,Straight,10,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 43,f,0.017,50000,Straight,10,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 44,f,0.016,60000,Straight,10,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 45,f,0.016,70000,Straight,10,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 46,f,0.016,80000,Straight,10,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 47,f,0.015,90000,Straight,10,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 48,f,0.021,7000,Straight,10,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 49,f,0.019,10000,Straight,10,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 50,f,0.015,15000,Straight,10,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 51,f,0.014,20000,Straight,10,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 52,f,0.013,30000,Straight,10,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 53,f,0.012,40000,Straight,10,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 54,f,0.011,50000,Straight,10,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 55,f,0.011,60000,Straight,10,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 56,f,0.011,70000,Straight,10,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 57,f,0.01,80000,Straight,10,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 58,f,0.01,90000,Straight,10,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 1,f,0.024,8000,Straight,20,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 2,f,0.023,14000,Straight,20,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 3,f,0.024,30000,Straight,20,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 4,f,0.023,50000,Straight,20,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 5,f,0.023,80000,Straight,20,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 6,f,0.034,7000,Straight,20,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 7,f,0.031,12000,Straight,20,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 8,f,0.031,20000,Straight,20,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 9,f,0.031,40000,Straight,20,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 10,f,0.032,80000,Straight,20,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 11,f,0.025,7000,Straight,20,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 12,f,0.024,14000,Straight,20,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 13,f,0.024,30000,Straight,20,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 14,f,0.023,50000,Straight,20,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 15,f,0.023,80000,Straight,20,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 16,f,0.023,7000,Straight,20,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 17,f,0.018,15000,Straight,20,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 18,f,0.015,30000,Straight,20,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 19,f,0.014,50000,Straight,20,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 20,f,0.013,80000,Straight,20,0.063,30,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 21,f,0.016,7000,Straight,20,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 22,f,0.013,15000,Straight,20,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 23,f,0.01,30000,Straight,20,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 24,f,0.009,50000,Straight,20,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 5,pt 25,f,0.008,80000,Straight,20,0.063,15,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 1,Nu,60,8000,Straight,10,0.063,90,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 2,Nu,110,16000,Straight,10,0.063,90,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 3,Nu,170,30000,Straight,10,0.063,90,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 4,Nu,230,50000,Straight,10,0.063,90,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 5,Nu,300,80000,Straight,10,0.063,90,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 6,Nu,30,8000,Straight,10,0.063,90,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 7,Nu,55,16000,Straight,10,0.063,90,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 8,Nu,100,30000,Straight,10,0.063,90,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 9,Nu,160,50000,Straight,10,0.063,90,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 10,Nu,200,80000,Straight,10,0.063,90,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 11,Nu,70,8000,Straight,10,0.063,75,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 12,Nu,125,16000,Straight,10,0.063,75,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 13,Nu,200,30000,Straight,10,0.063,75,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 14,Nu,280,50000,Straight,10,0.063,75,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 15,Nu,350,80000,Straight,10,0.063,75,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 16,Nu,38,8000,Straight,10,0.063,75,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 17,Nu,65,16000,Straight,10,0.063,75,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 18,Nu,115,30000,Straight,10,0.063,75,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 19,Nu,170,50000,Straight,10,0.063,75,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 20,Nu,220,80000,Straight,10,0.063,75,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 21,Nu,80,8000,Straight,10,0.063,60,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 22,Nu,140,16000,Straight,10,0.063,60,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 23,Nu,250,30000,Straight,10,0.063,60,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 24,Nu,320,50000,Straight,10,0.063,60,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 25,Nu,400,80000,Straight,10,0.063,60,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 26,Nu,40,8000,Straight,10,0.063,60,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 27,Nu,75,16000,Straight,10,0.063,60,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 28,Nu,130,30000,Straight,10,0.063,60,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 29,Nu,200,50000,Straight,10,0.063,60,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 30,Nu,250,80000,Straight,10,0.063,60,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 31,Nu,80,8000,Straight,10,0.063,45,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 32,Nu,145,16000,Straight,10,0.063,45,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 33,Nu,255,30000,Straight,10,0.063,45,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 34,Nu,340,50000,Straight,10,0.063,45,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 35,Nu,420,80000,Straight,10,0.063,45,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 36,Nu,42,8000,Straight,10,0.063,45,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 37,Nu,78,16000,Straight,10,0.063,45,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 38,Nu,135,30000,Straight,10,0.063,45,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 39,Nu,205,50000,Straight,10,0.063,45,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 40,Nu,260,80000,Straight,10,0.063,45,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 41,Nu,85,8000,Straight,10,0.063,30,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 42,Nu,135,16000,Straight,10,0.063,30,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 43,Nu,210,30000,Straight,10,0.063,30,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 44,Nu,265,50000,Straight,10,0.063,30,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 45,Nu,320,80000,Straight,10,0.063,30,1,2,Ribbed wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 46,Nu,45,8000,Straight,10,0.063,30,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 47,Nu,80,16000,Straight,10,0.063,30,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 48,Nu,120,30000,Straight,10,0.063,30,1,2,Smooth wall,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 7,pt 49,Nu,170,50000,Straight,10,0.063,30,1,2,Smooth wall,Constant heat flux,N/A,Experimental
