Paper Title,Figure Number,Point ID,P/e_Source,e/D_Source,Alpha_Source,Geometry_Source,Aspect_Ratio_Source,Standard_Ratio,Standard_Ratio_Method,Standard_Baseline_Type,Processing_Note,Prandtl
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 6,raw,raw,raw,raw,raw,1.241893506173728,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 7,raw,raw,raw,raw,raw,1.3330386042524793,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 8,raw,raw,raw,raw,raw,1.3327331776734102,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 9,raw,raw,raw,raw,raw,1.4097382029984966,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 10,raw,raw,raw,raw,raw,1.5142772468062993,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 11,raw,raw,raw,raw,raw,1.560131780769258,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 12,raw,raw,raw,raw,raw,1.5956921966022581,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 13,raw,raw,raw,raw,raw,1.6764707012969626,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 14,raw,raw,raw,raw,raw,1.6991637669188355,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 15,raw,raw,raw,raw,raw,2.2783862183480545,Dittus-Boelert,Raw Data,Converted St to Nu: 72.4200. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 16,raw,raw,raw,raw,raw,1.9379180687720319,Dittus-Boelert,Raw Data,Converted St to Nu: 85.2000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 17,raw,raw,raw,raw,raw,2.07834763319814,Dittus-Boelert,Raw Data,Converted St to Nu: 115.0200. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 18,raw,raw,raw,raw,raw,2.039054187497396,Dittus-Boelert,Raw Data,Converted St to Nu: 134.9000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 19,raw,raw,raw,raw,raw,2.0034749679457176,Dittus-Boelert,Raw Data,Converted St to Nu: 153.3600. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 20,raw,raw,raw,raw,raw,1.910789576809745,Dittus-Boelert,Raw Data,Converted St to Nu: 220.1000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 21,raw,raw,raw,raw,raw,1.8538962110764583,Dittus-Boelert,Raw Data,Converted St to Nu: 247.0800. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 22,raw,raw,raw,raw,raw,1.747119660172579,Dittus-Boelert,Raw Data,Converted St to Nu: 263.4100. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 23,raw,raw,raw,raw,raw,1.733188023829991,Dittus-Boelert,Raw Data,Converted St to Nu: 319.5000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 24,raw,raw,raw,raw,raw,1.1231571884654326,Dittus-Boelert,Raw Data,Converted St to Nu: 26.8380. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 25,raw,raw,raw,raw,raw,1.0716963587406323,Dittus-Boelert,Raw Data,Converted St to Nu: 31.3110. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 26,raw,raw,raw,raw,raw,1.0721817498108488,Dittus-Boelert,Raw Data,Converted St to Nu: 34.0800. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 27,raw,raw,raw,raw,raw,0.972999714465667,Dittus-Boelert,Raw Data,Converted St to Nu: 35.7840. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 28,raw,raw,raw,raw,raw,1.1627508412632193,Dittus-Boelert,Raw Data,Converted St to Nu: 51.1200. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 29,raw,raw,raw,raw,raw,1.1033203484879015,Dittus-Boelert,Raw Data,Converted St to Nu: 61.0600. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 30,raw,raw,raw,raw,raw,1.0731864144723136,Dittus-Boelert,Raw Data,Converted St to Nu: 71.0000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 31,raw,raw,raw,raw,raw,1.0573895664157953,Dittus-Boelert,Raw Data,Converted St to Nu: 80.9400. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 32,raw,raw,raw,raw,raw,1.1094907220185615,Dittus-Boelert,Raw Data,Converted St to Nu: 127.8000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 33,raw,raw,raw,raw,raw,1.0228392888697702,Dittus-Boelert,Raw Data,Converted St to Nu: 136.3200. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 34,raw,raw,raw,raw,raw,1.0878292223716057,Dittus-Boelert,Raw Data,Converted St to Nu: 164.0100. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 35,raw,raw,raw,raw,raw,1.0745765747745946,Dittus-Boelert,Raw Data,Converted St to Nu: 198.0900. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 36,raw,WARNING,raw,raw,raw,0.8394318151149411,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 37,raw,raw,raw,raw,raw,0.8227848101265821,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 38,raw,raw,raw,raw,raw,0.8580287035651228,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 39,raw,raw,raw,raw,raw,0.9031952772172567,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 40,raw,raw,raw,raw,raw,0.9995498832550577,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 41,raw,raw,raw,raw,raw,1.0517094530306246,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 42,raw,raw,raw,raw,raw,1.0883867711420276,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 43,raw,raw,raw,raw,raw,1.1839006619952237,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 44,raw,raw,raw,raw,raw,1.233264024376574,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 45,raw,raw,raw,raw,raw,2.0799207193804303,Dittus-Boelert,Raw Data,Converted St to Nu: 49.7000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 46,raw,raw,raw,raw,raw,1.7422953434426296,Dittus-Boelert,Raw Data,Converted St to Nu: 55.3800. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 47,raw,raw,raw,raw,raw,1.6472303584562273,Dittus-Boelert,Raw Data,Converted St to Nu: 72.4200. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 48,raw,raw,raw,raw,raw,1.5395167653319557,Dittus-Boelert,Raw Data,Converted St to Nu: 85.2000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 49,raw,raw,raw,raw,raw,1.5304322671807564,Dittus-Boelert,Raw Data,Converted St to Nu: 117.1500. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 50,raw,raw,raw,raw,raw,1.4737003131893116,Dittus-Boelert,Raw Data,Converted St to Nu: 142.0000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 51,raw,raw,raw,raw,raw,1.4793209626914152,Dittus-Boelert,Raw Data,Converted St to Nu: 170.4000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 52,raw,raw,raw,raw,raw,1.3845099193820436,Dittus-Boelert,Raw Data,Converted St to Nu: 208.7400. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 53,raw,raw,raw,raw,raw,1.3865504190639928,Dittus-Boelert,Raw Data,Converted St to Nu: 255.6000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 54,raw,raw,raw,raw,raw,1.0815587740778239,Dittus-Boelert,Raw Data,Converted St to Nu: 25.8440. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 55,raw,raw,raw,raw,raw,0.938159031084493,Dittus-Boelert,Raw Data,Converted St to Nu: 29.8200. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 56,raw,raw,raw,raw,raw,0.9205110826667152,Dittus-Boelert,Raw Data,Converted St to Nu: 40.4700. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 57,raw,raw,raw,raw,raw,0.8980514464436408,Dittus-Boelert,Raw Data,Converted St to Nu: 49.7000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 58,raw,raw,raw,raw,raw,0.8904333190869855,Dittus-Boelert,Raw Data,Converted St to Nu: 68.1600. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 59,raw,raw,raw,raw,raw,0.8842201879135869,Dittus-Boelert,Raw Data,Converted St to Nu: 85.2000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 60,raw,raw,raw,raw,raw,0.862937228236659,Dittus-Boelert,Raw Data,Converted St to Nu: 99.4000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 61,raw,raw,raw,raw,raw,0.8570775691412652,Dittus-Boelert,Raw Data,Converted St to Nu: 129.2200. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 62,raw,raw,raw,raw,raw,0.8319302514383956,Dittus-Boelert,Raw Data,Converted St to Nu: 153.3600. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 63,raw,raw,raw,raw,raw,0.5210266438644462,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 64,raw,raw,raw,raw,raw,0.5379746835443038,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 65,raw,raw,raw,raw,raw,0.5778560656663072,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 66,raw,raw,raw,raw,raw,0.5833136165361449,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 67,raw,raw,raw,raw,raw,0.624718677034411,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 68,raw,raw,raw,raw,raw,0.6713039061897603,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 69,raw,raw,raw,raw,raw,0.6861568774591044,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 70,raw,raw,raw,raw,raw,0.7463721564752498,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 71,raw,raw,raw,raw,raw,0.7673642818343128,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 72,raw,raw,raw,raw,raw,1.5599405395353227,Dittus-Boelert,Raw Data,Converted St to Nu: 37.2750. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 73,raw,raw,raw,raw,raw,1.3402271872635612,Dittus-Boelert,Raw Data,Converted St to Nu: 42.6000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 74,raw,raw,raw,raw,raw,1.332318672280772,Dittus-Boelert,Raw Data,Converted St to Nu: 58.5750. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 75,raw,raw,raw,raw,raw,1.2829306377766299,Dittus-Boelert,Raw Data,Converted St to Nu: 71.0000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 76,raw,raw,raw,raw,raw,1.2521718549660734,Dittus-Boelert,Raw Data,Converted St to Nu: 95.8500. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 77,raw,raw,raw,raw,raw,1.2084342568152355,Dittus-Boelert,Raw Data,Converted St to Nu: 116.4400. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 78,raw,raw,raw,raw,raw,1.2019482821867749,Dittus-Boelert,Raw Data,Converted St to Nu: 138.4500. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 79,raw,raw,raw,raw,raw,1.153758266151703,Dittus-Boelert,Raw Data,Converted St to Nu: 173.9500. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 80,raw,raw,raw,raw,raw,1.143904095727794,Dittus-Boelert,Raw Data,Converted St to Nu: 210.8700. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 81,raw,raw,raw,raw,raw,1.0815587740778239,Dittus-Boelert,Raw Data,Converted St to Nu: 25.8440. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 82,raw,raw,raw,raw,raw,0.9158219112967669,Dittus-Boelert,Raw Data,Converted St to Nu: 29.1100. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 83,raw,raw,raw,raw,raw,0.8720631309474144,Dittus-Boelert,Raw Data,Converted St to Nu: 38.3400. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 84,raw,raw,raw,raw,raw,0.8467342209325757,Dittus-Boelert,Raw Data,Converted St to Nu: 46.8600. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 85,raw,raw,raw,raw,raw,0.834781236644049,Dittus-Boelert,Raw Data,Converted St to Nu: 63.9000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 86,raw,raw,raw,raw,raw,0.8252721753860145,Dittus-Boelert,Raw Data,Converted St to Nu: 79.5200. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 87,raw,raw,raw,raw,raw,0.8012988547911833,Dittus-Boelert,Raw Data,Converted St to Nu: 92.3000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 88,raw,raw,raw,raw,raw,0.7911485253611676,Dittus-Boelert,Raw Data,Converted St to Nu: 119.2800. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 89,raw,raw,raw,raw,raw,0.7972664909617959,Dittus-Boelert,Raw Data,Converted St to Nu: 146.9700. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 1,raw,raw,raw,raw,raw,0.7182847663315259,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 2,raw,raw,raw,raw,raw,0.7278481012658227,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 3,raw,raw,raw,raw,raw,0.7879855440904189,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 4,raw,raw,raw,raw,raw,0.8279290041158185,Blasius,Raw Data,Raw f normalized using Blasius,0.71
